place,competitionId,competition,country,startDate,endDate,partScore,participationScorePlace,resultScore,resultScorePlace,competitionScore,competitionUrl
754,602956,"C.C.U. Chanticleer Challenge, Coastal Carolina University, Conway, SC",USA,03 APR 2021,03 APR 2021,0,,65680,752,65680,https://worldathletics.org/records/competition-performance-rankings/ranking/602956
755,607325,"9th Juntendo University Competition, Juntendo University Stadium, Inzai",JPN,16 OCT 2021,16 OCT 2021,0,,65643,754,65643,https://worldathletics.org/records/competition-performance-rankings/ranking/607325
756,606292,"Western Japan Meeting, Hakatanomori Athletic Stadium, Fukuoka",JPN,10 APR 2021,11 APR 2021,5,704,65613,756,65618,https://worldathletics.org/records/competition-performance-rankings/ranking/606292
757,605879,"Monmouth Spring Invitational, OceanFirst Bank Center, West Long Branch, NJ",USA,18 APR 2021,18 APR 2021,0,,65614,755,65614,https://worldathletics.org/records/competition-performance-rankings/ranking/605879
758,602932,"Embry Riddle Spikes Classic, ERAU T&F Complex, Daytona Beach, FL",USA,02 APR 2021,03 APR 2021,0,,65613,756,65613,https://worldathletics.org/records/competition-performance-rankings/ranking/602932
759,603070,"Little Rock Invitational, Coleman Sports Complex, Little Rock, AR",USA,10 APR 2021,10 APR 2021,0,,65612,758,65612,https://worldathletics.org/records/competition-performance-rankings/ranking/603070
760,603286,"Ashton May/Phil Esten Meet, Veterans Memorial Stadium, La Crosse, WI",USA,16 APR 2021,17 APR 2021,0,,65610,759,65610,https://worldathletics.org/records/competition-performance-rankings/ranking/603286
761,604930,"Irish U20 Championships, Morton Stadium, Santry, Dublin",IRL,19 JUN 2021,20 JUN 2021,0,,65601,760,65601,https://worldathletics.org/records/competition-performance-rankings/ranking/604930
762,605696,"Aarauer Abendmeeting, Leichtathletikstadion Schachen, Aarau",SUI,07 AUG 2021,07 AUG 2021,10,637,65590,761,65600,https://worldathletics.org/records/competition-performance-rankings/ranking/605696
763,606190,"National Athletics League Premier London South, Thames Valley Athletics Stadium, Eton",GBR,28 AUG 2021,28 AUG 2021,60,368,65534,769,65594,https://worldathletics.org/records/competition-performance-rankings/ranking/606190
764,602761,"Westmont Classic, Westmont Track/Thorrington Field, Santa Barbara, CA",USA,27 MAR 2021,27 MAR 2021,40,439,65549,766,65589,https://worldathletics.org/records/competition-performance-rankings/ranking/602761
765,613624,"BAA Series, Francistown Stadion, Francistown",BOT,16 JUN 2021,16 JUN 2021,35,461,65552,765,65587,https://worldathletics.org/records/competition-performance-rankings/ranking/613624
766,605073,"Regional Championships, Stade communautaire d'athlétisme, Bruay-la-Buissiere",FRA,20 JUN 2021,20 JUN 2021,0,,65567,762,65567,https://worldathletics.org/records/competition-performance-rankings/ranking/605073
767,603065,"Hillsdale Invitational w/ Multi, Ken Herrick Track, Hillsdale, MI",USA,09 APR 2021,10 APR 2021,0,,65558,763,65558,https://worldathletics.org/records/competition-performance-rankings/ranking/603065
768,606622,"SIAB Schools Home International, Moorways Stadium, Derby",GBR,25 SEP 2021,25 SEP 2021,0,,65553,764,65553,https://worldathletics.org/records/competition-performance-rankings/ranking/606622
769,604423,"Cto Madrid U23 - Control FAM, Estadio Vallehermoso, Madrid",ESP,29 MAY 2021,30 MAY 2021,10,637,65538,767,65548,https://worldathletics.org/records/competition-performance-rankings/ranking/604423
770,602931,"Central Nebraska Challenge, Kearney HS Track Complex, Kearney, NE",USA,03 APR 2021,03 APR 2021,0,,65535,768,65535,https://worldathletics.org/records/competition-performance-rankings/ranking/602931
770,606350,"Rutgers B1G Tri-Meet, Rutgers University Bauer Track and Field Complex, New Brunswick, NJ",USA,10 APR 2021,10 APR 2021,20,545,65515,771,65535,https://worldathletics.org/records/competition-performance-rankings/ranking/606350
772,603379,"Sacramento State Invite, Hornet Stadium - Sac St., Sacramento, CA",USA,17 APR 2021,17 APR 2021,0,,65527,770,65527,https://worldathletics.org/records/competition-performance-rankings/ranking/603379
773,604124,"2. Sommer Run&Jump, Mommsenstadion, Berlin",GER,21 MAY 2021,21 MAY 2021,5,704,65485,772,65490,https://worldathletics.org/records/competition-performance-rankings/ranking/604124
774,608211,"VHSL Class 6 State Championships, Todd Stadium, Newport News, VA",USA,19 JUN 2021,19 JUN 2021,0,,65478,773,65478,https://worldathletics.org/records/competition-performance-rankings/ranking/608211
